country,region,happiness_rank,happiness_score,year
Bangladesh,Southern Asia,110,4.60799980163574,2017
Bangladesh,Southern Asia,115,4.5,2018
Bangladesh,Southern Asia,125,4.456,2019
Bangladesh,Southern Asia,106,4.832799911,2020
India,Southern Asia,117,4.565,2015
India,Southern Asia,118,4.404,2016
India,Southern Asia,122,4.31500005722046,2017
India,Southern Asia,133,4.19,2018
India,Southern Asia,140,4.015,2019
India,Southern Asia,143,3.573299885,2020
Nepal,Southern Asia,121,4.513999999999999,2015
Nepal,Southern Asia,107,4.793,2016
Nepal,Southern Asia,99,4.961999893188481,2017
Nepal,Southern Asia,101,4.88,2018
Nepal,Southern Asia,100,4.913,2019
Nepal,Southern Asia,91,5.137199879,2020
Pakistan,Southern Asia,81,5.194,2015
Pakistan,Southern Asia,92,5.132000000000001,2016
Pakistan,Southern Asia,80,5.26900005340576,2017
Pakistan,Southern Asia,75,5.472,2018
Pakistan,Southern Asia,67,5.653,2019
Pakistan,Southern Asia,65,5.69329977,2020
Sri Lanka,Southern Asia,132,4.271,2015
Sri Lanka,Southern Asia,117,4.415,2016
Sri Lanka,Southern Asia,120,4.44000005722046,2017
Sri Lanka,Southern Asia,116,4.471,2018
Sri Lanka,Southern Asia,130,4.3660000000000005,2019
Sri Lanka,Southern Asia,129,4.327000141,2020
Benin,Sub-Saharan Africa,155,3.34,2015
Benin,Sub-Saharan Africa,153,3.484,2016
Benin,Sub-Saharan Africa,143,3.65700006484985,2017
Benin,Sub-Saharan Africa,136,4.141,2018
Benin,Sub-Saharan Africa,102,4.883,2019
Benin,Sub-Saharan Africa,85,5.21600008,2020
Botswana,Sub-Saharan Africa,128,4.332,2015
Botswana,Sub-Saharan Africa,137,3.9739999999999998,2016
Botswana,Sub-Saharan Africa,142,3.7660000324249303,2017
Botswana,Sub-Saharan Africa,146,3.59,2018
Botswana,Sub-Saharan Africa,148,3.488,2019
Botswana,Sub-Saharan Africa,146,3.4788999560000002,2020
Burkina Faso,Sub-Saharan Africa,152,3.5869999999999997,2015
Burkina Faso,Sub-Saharan Africa,145,3.739,2016
Burkina Faso,Sub-Saharan Africa,134,4.03200006484985,2017
Burkina Faso,Sub-Saharan Africa,121,4.4239999999999995,2018
Burkina Faso,Sub-Saharan Africa,115,4.587,2019
Burkina Faso,Sub-Saharan Africa,111,4.768700123,2020
Burundi,Sub-Saharan Africa,157,2.905,2015
Burundi,Sub-Saharan Africa,157,2.905,2016
Burundi,Sub-Saharan Africa,154,2.90499997138977,2017
Burundi,Sub-Saharan Africa,156,2.905,2018
Burundi,Sub-Saharan Africa,145,3.775,2019
Burundi,Sub-Saharan Africa,139,3.775300026,2020
Cameroon,Sub-Saharan Africa,133,4.252,2015
Cameroon,Sub-Saharan Africa,114,4.513,2016
Cameroon,Sub-Saharan Africa,107,4.69500017166138,2017
Cameroon,Sub-Saharan Africa,99,4.975,2018
Cameroon,Sub-Saharan Africa,96,5.044,2019
Cameroon,Sub-Saharan Africa,97,5.084899902,2020
Chad,Sub-Saharan Africa,149,3.667,2015
Chad,Sub-Saharan Africa,144,3.763,2016
Chad,Sub-Saharan Africa,137,3.9360001087188703,2017
Chad,Sub-Saharan Africa,131,4.301,2018
Chad,Sub-Saharan Africa,132,4.35,2019
Chad,Sub-Saharan Africa,126,4.422699928,2020
Congo (Brazzaville),Sub-Saharan Africa,139,3.989,2015
Congo (Brazzaville),Sub-Saharan Africa,127,4.236000000000001,2016
Congo (Brazzaville),Sub-Saharan Africa,124,4.29099988937378,2017
Congo (Brazzaville),Sub-Saharan Africa,114,4.559,2018
Congo (Brazzaville),Sub-Saharan Africa,103,4.812,2019
Congo (Brazzaville),Sub-Saharan Africa,87,5.1943998339999995,2020
Congo (Kinshasa),Sub-Saharan Africa,120,4.5169999999999995,2015
Congo (Kinshasa),Sub-Saharan Africa,125,4.272,2016
Congo (Kinshasa),Sub-Saharan Africa,126,4.2800002098083505,2017
Congo (Kinshasa),Sub-Saharan Africa,132,4.245,2018
Congo (Kinshasa),Sub-Saharan Africa,127,4.418,2019
Congo (Kinshasa),Sub-Saharan Africa,130,4.31099987,2020
Ethiopia,Sub-Saharan Africa,122,4.512,2015
Ethiopia,Sub-Saharan Africa,115,4.508,2016
Ethiopia,Sub-Saharan Africa,119,4.46000003814697,2017
Ethiopia,Sub-Saharan Africa,127,4.35,2018
Ethiopia,Sub-Saharan Africa,134,4.2860000000000005,2019
Ethiopia,Sub-Saharan Africa,135,4.186200142,2020
Gabon,Sub-Saharan Africa,143,3.8960000000000004,2015
Gabon,Sub-Saharan Africa,134,4.121,2016
Gabon,Sub-Saharan Africa,118,4.46500015258789,2017
Gabon,Sub-Saharan Africa,103,4.758,2018
Gabon,Sub-Saharan Africa,104,4.7989999999999995,2019
Gabon,Sub-Saharan Africa,107,4.829299927,2020
Ghana,Sub-Saharan Africa,114,4.633,2015
Ghana,Sub-Saharan Africa,124,4.276,2016
Ghana,Sub-Saharan Africa,131,4.11999988555908,2017
Ghana,Sub-Saharan Africa,108,4.657,2018
Ghana,Sub-Saharan Africa,98,4.996,2019
Ghana,Sub-Saharan Africa,90,5.1479997630000005,2020
Guinea,Sub-Saharan Africa,150,3.656,2015
Guinea,Sub-Saharan Africa,151,3.6069999999999998,2016
Guinea,Sub-Saharan Africa,149,3.50699996948242,2017
Guinea,Sub-Saharan Africa,140,3.964,2018
Guinea,Sub-Saharan Africa,118,4.534,2019
Guinea,Sub-Saharan Africa,101,4.949299812,2020
Ivory Coast,Sub-Saharan Africa,151,3.655,2015
Ivory Coast,Sub-Saharan Africa,139,3.9160000000000004,2016
Ivory Coast,Sub-Saharan Africa,128,4.17999982833862,2017
Ivory Coast,Sub-Saharan Africa,107,4.671,2018
Ivory Coast,Sub-Saharan Africa,99,4.944,2019
Ivory Coast,Sub-Saharan Africa,84,5.233300208999999,2020
Kenya,Sub-Saharan Africa,125,4.419,2015
Kenya,Sub-Saharan Africa,122,4.356,2016
Kenya,Sub-Saharan Africa,112,4.55299997329712,2017
Kenya,Sub-Saharan Africa,124,4.41,2018
Kenya,Sub-Saharan Africa,121,4.5089999999999995,2019
Kenya,Sub-Saharan Africa,120,4.583000183,2020
Liberia,Sub-Saharan Africa,116,4.571000000000001,2015
Liberia,Sub-Saharan Africa,150,3.622,2016
Liberia,Sub-Saharan Africa,148,3.5329999923706095,2017
Liberia,Sub-Saharan Africa,149,3.495,2018
Liberia,Sub-Saharan Africa,141,3.975,2019
Liberia,Sub-Saharan Africa,123,4.557899952,2020
Madagascar,Sub-Saharan Africa,147,3.681,2015
Madagascar,Sub-Saharan Africa,148,3.695,2016
Madagascar,Sub-Saharan Africa,144,3.64400005340576,2017
Madagascar,Sub-Saharan Africa,143,3.7739999999999996,2018
Madagascar,Sub-Saharan Africa,143,3.9330000000000003,2019
Madagascar,Sub-Saharan Africa,136,4.165599823,2020
Malawi,Sub-Saharan Africa,131,4.292,2015
Malawi,Sub-Saharan Africa,132,4.156000000000001,2016
Malawi,Sub-Saharan Africa,136,3.97000002861023,2017
Malawi,Sub-Saharan Africa,147,3.5869999999999997,2018
Malawi,Sub-Saharan Africa,150,3.41,2019
Malawi,Sub-Saharan Africa,144,3.538000107,2020
Mali,Sub-Saharan Africa,138,3.995,2015
Mali,Sub-Saharan Africa,135,4.073,2016
Mali,Sub-Saharan Africa,127,4.19000005722046,2017
Mali,Sub-Saharan Africa,118,4.447,2018
Mali,Sub-Saharan Africa,128,4.39,2019
Mali,Sub-Saharan Africa,113,4.729300021999999,2020
Mauritania,Sub-Saharan Africa,124,4.436,2015
Mauritania,Sub-Saharan Africa,130,4.2010000000000005,2016
Mauritania,Sub-Saharan Africa,123,4.29199981689453,2017
Mauritania,Sub-Saharan Africa,126,4.356,2018
Mauritania,Sub-Saharan Africa,122,4.49,2019
Mauritania,Sub-Saharan Africa,128,4.374599934,2020
Mauritius,Sub-Saharan Africa,71,5.477,2015
Mauritius,Sub-Saharan Africa,66,5.648,2016
Mauritius,Sub-Saharan Africa,64,5.62900018692017,2017
Mauritius,Sub-Saharan Africa,55,5.891,2018
Mauritius,Sub-Saharan Africa,57,5.888,2019
Mauritius,Sub-Saharan Africa,48,6.101299762999999,2020
Niger,Sub-Saharan Africa,144,3.845,2015
Niger,Sub-Saharan Africa,142,3.8560000000000003,2016
Niger,Sub-Saharan Africa,135,4.02799987792969,2017
Niger,Sub-Saharan Africa,134,4.166,2018
Niger,Sub-Saharan Africa,114,4.628,2019
Niger,Sub-Saharan Africa,102,4.909599781,2020
Nigeria,Sub-Saharan Africa,78,5.268,2015
Nigeria,Sub-Saharan Africa,103,4.875,2016
Nigeria,Sub-Saharan Africa,95,5.07399988174438,2017
Nigeria,Sub-Saharan Africa,91,5.155,2018
Nigeria,Sub-Saharan Africa,85,5.265,2019
Nigeria,Sub-Saharan Africa,114,4.724100113,2020
Rwanda,Sub-Saharan Africa,154,3.465,2015
Rwanda,Sub-Saharan Africa,152,3.515,2016
Rwanda,Sub-Saharan Africa,151,3.47099995613098,2017
Rwanda,Sub-Saharan Africa,151,3.408,2018
Rwanda,Sub-Saharan Africa,152,3.3339999999999996,2019
Rwanda,Sub-Saharan Africa,149,3.312299967,2020
Senegal,Sub-Saharan Africa,142,3.904,2015
Senegal,Sub-Saharan Africa,128,4.218999999999999,2016
Senegal,Sub-Saharan Africa,115,4.53499984741211,2017
Senegal,Sub-Saharan Africa,109,4.631,2018
Senegal,Sub-Saharan Africa,111,4.681,2019
Senegal,Sub-Saharan Africa,100,4.980800152,2020
Sierra Leone,Sub-Saharan Africa,123,4.507,2015
Sierra Leone,Sub-Saharan Africa,111,4.635,2016
Sierra Leone,Sub-Saharan Africa,106,4.70900011062622,2017
Sierra Leone,Sub-Saharan Africa,113,4.571000000000001,2018
Sierra Leone,Sub-Saharan Africa,129,4.374,2019
Sierra Leone,Sub-Saharan Africa,138,3.926399946,2020
South Africa,Sub-Saharan Africa,113,4.6419999999999995,2015
South Africa,Sub-Saharan Africa,116,4.459,2016
South Africa,Sub-Saharan Africa,101,4.8289999961853,2017
South Africa,Sub-Saharan Africa,105,4.724,2018
South Africa,Sub-Saharan Africa,106,4.7219999999999995,2019
South Africa,Sub-Saharan Africa,108,4.814099789,2020
Tanzania,Sub-Saharan Africa,146,3.781,2015
Tanzania,Sub-Saharan Africa,149,3.6660000000000004,2016
Tanzania,Sub-Saharan Africa,153,3.34899997711182,2017
Tanzania,Sub-Saharan Africa,153,3.303,2018
Tanzania,Sub-Saharan Africa,153,3.2310000000000003,2019
Tanzania,Sub-Saharan Africa,147,3.4762001039999997,2020
Togo,Sub-Saharan Africa,158,2.839,2015
Togo,Sub-Saharan Africa,155,3.303,2016
Togo,Sub-Saharan Africa,150,3.4949998855590803,2017
Togo,Sub-Saharan Africa,139,3.9989999999999997,2018
Togo,Sub-Saharan Africa,139,4.085,2019
Togo,Sub-Saharan Africa,134,4.187200069,2020
Uganda,Sub-Saharan Africa,141,3.931,2015
Uganda,Sub-Saharan Africa,145,3.739,2016
Uganda,Sub-Saharan Africa,133,4.08099985122681,2017
Uganda,Sub-Saharan Africa,135,4.1610000000000005,2018
Uganda,Sub-Saharan Africa,136,4.189,2019
Uganda,Sub-Saharan Africa,125,4.43200016,2020
Zambia,Sub-Saharan Africa,85,5.129,2015
Zambia,Sub-Saharan Africa,106,4.795,2016
Zambia,Sub-Saharan Africa,116,4.513999938964839,2017
Zambia,Sub-Saharan Africa,125,4.377,2018
Zambia,Sub-Saharan Africa,138,4.107,2019
Zambia,Sub-Saharan Africa,140,3.759399891,2020
Zimbabwe,Sub-Saharan Africa,115,4.61,2015
Zimbabwe,Sub-Saharan Africa,131,4.1930000000000005,2016
Zimbabwe,Sub-Saharan Africa,138,3.875,2017
Zimbabwe,Sub-Saharan Africa,144,3.6919999999999997,2018
Zimbabwe,Sub-Saharan Africa,146,3.6630000000000003,2019
Zimbabwe,Sub-Saharan Africa,150,3.2992000580000003,2020
Austria,Western Europe,13,7.2,2015
Austria,Western Europe,12,7.119,2016
Austria,Western Europe,13,7.00600004196167,2017
Austria,Western Europe,12,7.138999999999999,2018
Austria,Western Europe,10,7.246,2019
Austria,Western Europe,8,7.294199944,2020
Belgium,Western Europe,19,6.937,2015
Belgium,Western Europe,18,6.928999999999999,2016
Belgium,Western Europe,17,6.89099979400635,2017
Belgium,Western Europe,16,6.9270000000000005,2018
Belgium,Western Europe,18,6.922999999999999,2019
Belgium,Western Europe,19,6.863500117999999,2020
Cyprus,Western Europe,67,5.689,2015
Cyprus,Western Europe,69,5.546,2016
Cyprus,Western Europe,65,5.62099981307983,2017
Cyprus,Western Europe,61,5.7620000000000005,2018
Cyprus,Western Europe,49,6.046,2019
Cyprus,Western Europe,44,6.15899992,2020
Denmark,Western Europe,3,7.527,2015
Denmark,Western Europe,1,7.526,2016
Denmark,Western Europe,2,7.52199983596802,2017
Denmark,Western Europe,3,7.555,2018
Denmark,Western Europe,2,7.6,2019
Denmark,Western Europe,1,7.645599842,2020
Finland,Western Europe,6,7.406000000000001,2015
Finland,Western Europe,5,7.412999999999999,2016
Finland,Western Europe,5,7.468999862670901,2017
Finland,Western Europe,1,7.632000000000001,2018
Finland,Western Europe,1,7.769,2019
Finland,Western Europe,0,7.808700085,2020
France,Western Europe,29,6.575,2015
France,Western Europe,32,6.478,2016
France,Western Europe,31,6.44199991226196,2017
France,Western Europe,23,6.489,2018
France,Western Europe,24,6.5920000000000005,2019
France,Western Europe,22,6.663799762999999,2020
Germany,Western Europe,26,6.75,2015
Germany,Western Europe,16,6.994,2016
Germany,Western Europe,16,6.9510002136230495,2017
Germany,Western Europe,15,6.965,2018
Germany,Western Europe,17,6.985,2019
Germany,Western Europe,16,7.075799942000001,2020
Greece,Western Europe,102,4.857,2015
Greece,Western Europe,99,5.033,2016
Greece,Western Europe,87,5.2270002365112305,2017
Greece,Western Europe,79,5.358,2018
Greece,Western Europe,82,5.287000000000001,2019
Greece,Western Europe,76,5.514999866,2020
Iceland,Western Europe,2,7.561,2015
Iceland,Western Europe,3,7.501,2016
Iceland,Western Europe,3,7.50400018692017,2017
Iceland,Western Europe,4,7.495,2018
Iceland,Western Europe,4,7.494,2019
Iceland,Western Europe,3,7.504499912000001,2020
Ireland,Western Europe,18,6.94,2015
Ireland,Western Europe,19,6.907,2016
Ireland,Western Europe,15,6.9770002365112305,2017
Ireland,Western Europe,14,6.977,2018
Ireland,Western Europe,16,7.021,2019
Ireland,Western Europe,15,7.093699932000001,2020
Italy,Western Europe,50,5.9479999999999995,2015
Italy,Western Europe,50,5.977,2016
Italy,Western Europe,48,5.96400022506714,2017
Italy,Western Europe,47,6.0,2018
Italy,Western Europe,36,6.223,2019
Italy,Western Europe,29,6.38740015,2020
Luxembourg,Western Europe,17,6.946000000000001,2015
Luxembourg,Western Europe,20,6.871,2016
Luxembourg,Western Europe,18,6.86299991607666,2017
Luxembourg,Western Europe,17,6.91,2018
Luxembourg,Western Europe,14,7.09,2019
Luxembourg,Western Europe,9,7.2375001910000005,2020
Malta,Western Europe,37,6.3020000000000005,2015
Malta,Western Europe,30,6.4879999999999995,2016
Malta,Western Europe,27,6.52699995040894,2017
Malta,Western Europe,22,6.627000000000001,2018
Malta,Western Europe,22,6.726,2019
Malta,Western Europe,21,6.772799968999999,2020
Netherlands,Western Europe,7,7.377999999999999,2015
Netherlands,Western Europe,7,7.3389999999999995,2016
Netherlands,Western Europe,6,7.3769998550415,2017
Netherlands,Western Europe,6,7.441,2018
Netherlands,Western Europe,5,7.4879999999999995,2019
Netherlands,Western Europe,5,7.448900223,2020
North Cyprus,Western Europe,66,5.695,2015
North Cyprus,Western Europe,62,5.771,2016
North Cyprus,Western Europe,61,5.80999994277954,2017
North Cyprus,Western Europe,58,5.835,2018
North Cyprus,Western Europe,64,5.718,2019
North Cyprus,Western Europe,75,5.53550005,2020
Norway,Western Europe,4,7.522,2015
Norway,Western Europe,4,7.497999999999999,2016
Norway,Western Europe,1,7.537000179290769,2017
Norway,Western Europe,2,7.593999999999999,2018
Norway,Western Europe,3,7.553999999999999,2019
Norway,Western Europe,4,7.487999916000001,2020
Portugal,Western Europe,88,5.102,2015
Portugal,Western Europe,94,5.122999999999999,2016
Portugal,Western Europe,89,5.19500017166138,2017
Portugal,Western Europe,77,5.41,2018
Portugal,Western Europe,66,5.693,2019
Portugal,Western Europe,58,5.9109001160000005,2020
Spain,Western Europe,36,6.329,2015
Spain,Western Europe,37,6.361000000000001,2016
Spain,Western Europe,34,6.40299987792969,2017
Spain,Western Europe,36,6.31,2018
Spain,Western Europe,30,6.354,2019
Spain,Western Europe,27,6.4008998870000005,2020
Sweden,Western Europe,8,7.364,2015
Sweden,Western Europe,10,7.291,2016
Sweden,Western Europe,9,7.28399991989136,2017
Sweden,Western Europe,9,7.314,2018
Sweden,Western Europe,7,7.343,2019
Sweden,Western Europe,6,7.353499889,2020
Switzerland,Western Europe,1,7.587000000000001,2015
Switzerland,Western Europe,2,7.5089999999999995,2016
Switzerland,Western Europe,4,7.49399995803833,2017
Switzerland,Western Europe,5,7.487,2018
Switzerland,Western Europe,6,7.48,2019
Switzerland,Western Europe,2,7.559899807000001,2020
United Kingdom,Western Europe,21,6.867000000000001,2015
United Kingdom,Western Europe,23,6.725,2016
United Kingdom,Western Europe,19,6.71400022506714,2017
United Kingdom,Western Europe,11,7.19,2018
United Kingdom,Western Europe,15,7.053999999999999,2019
United Kingdom,Western Europe,12,7.164500237,2020
